index,bonus_type,title,year,era,art_type,qid,sitelinks,item_url,image_url,button_path
11,BONUS_ART_011,Riace bronzes,-459,ANTIQUITY,SCULPTURE,Q205259,36,http://www.wikidata.org/entity/Q205259,http://commons.wikimedia.org/wiki/Special:FilePath/Bronzi%20di%20riace%2C%20V%20secolo%20ac.%2001.jpg,Art/Interface/Buttons/Resources/ArtMasterpieces/ART_011.tga
12,BONUS_ART_012,Discobolus,-450,ANTIQUITY,SCULPTURE,Q133732,38,http://www.wikidata.org/entity/Q133732,http://commons.wikimedia.org/wiki/Special:FilePath/Discobolus%20in%20National%20Roman%20Museum%20Palazzo%20Massimo%20alle%20Terme.JPG,Art/Interface/Buttons/Resources/ArtMasterpieces/ART_012.tga
13,BONUS_ART_013,Elgin Marbles,-440,ANTIQUITY,SCULPTURE,Q606662,46,http://www.wikidata.org/entity/Q606662,http://commons.wikimedia.org/wiki/Special:FilePath/Elgin%20Marbles%20British%20Museum.jpg,Art/Interface/Buttons/Resources/ArtMasterpieces/ART_013.tga
14,BONUS_ART_014,Statue of Zeus at Olympia,-430,ANTIQUITY,SCULPTURE,Q46239,93,http://www.wikidata.org/entity/Q46239,http://commons.wikimedia.org/wiki/Special:FilePath/Le%20Jupiter%20Olympien%20ou%20l%27art%20de%20la%20sculpture%20antique.jpg,Art/Interface/Buttons/Resources/ArtMasterpieces/ART_014.tga
15,BONUS_ART_015,Apollo Belvedere,-350,ANTIQUITY,SCULPTURE,Q619135,37,http://www.wikidata.org/entity/Q619135,http://commons.wikimedia.org/wiki/Special:FilePath/Apollo%20of%20the%20Belvedere.jpg,Art/Interface/Buttons/Resources/ArtMasterpieces/ART_015.tga
16,BONUS_ART_016,Colossus of Rhodes,-283,ANTIQUITY,SCULPTURE,Q41553,93,http://www.wikidata.org/entity/Q41553,http://commons.wikimedia.org/wiki/Special:FilePath/Colosse%20de%20Rhodes%20%28Barclay%29.jpg,Art/Interface/Buttons/Resources/ArtMasterpieces/ART_016.tga
17,BONUS_ART_017,Dying Gaul,-230,ANTIQUITY,SCULPTURE,Q848790,34,http://www.wikidata.org/entity/Q848790,http://commons.wikimedia.org/wiki/Special:FilePath/0%20Galata%20Morente%20-%20Musei%20Capitolini%20%281%29.jpg,Art/Interface/Buttons/Resources/ArtMasterpieces/ART_017.tga
18,BONUS_ART_018,Rosetta Stone,-195,ANTIQUITY,SCULPTURE,Q48584,101,http://www.wikidata.org/entity/Q48584,http://commons.wikimedia.org/wiki/Special:FilePath/Rosetta%20Stone%20-%20front%20face%20-%20corrected%20image.jpg,Art/Interface/Buttons/Resources/ArtMasterpieces/ART_018.tga
19,BONUS_ART_019,Winged Victory of Samothrace,-175,ANTIQUITY,SCULPTURE,Q216402,53,http://www.wikidata.org/entity/Q216402,http://commons.wikimedia.org/wiki/Special:FilePath/Victoire%20de%20Samothrace%20-%20Musee%20du%20Louvre%20-%2020190812.jpg,Art/Interface/Buttons/Resources/ArtMasterpieces/ART_019.tga
20,BONUS_ART_020,Venus de Milo,-140,ANTIQUITY,SCULPTURE,Q151952,71,http://www.wikidata.org/entity/Q151952,http://commons.wikimedia.org/wiki/Special:FilePath/V%C3%A9nus%20de%20Milo%20-%20Mus%C3%A9e%20du%20Louvre%20AGER%20LL%20299%20%3B%20N%20527%20%3B%20Ma%20399.jpg,Art/Interface/Buttons/Resources/ArtMasterpieces/ART_020.tga
